# character mnemonics for RFC 1345
# source: http://tools.ietf.org/html/rfc1345
 
 SP     0020    SPACE
 a=     0430    CYRILLIC SMALL LETTER A
 b=     0431    CYRILLIC SMALL LETTER BE
 v=     0432    CYRILLIC SMALL LETTER VE
 g=     0433    CYRILLIC SMALL LETTER GHE
 d=     0434    CYRILLIC SMALL LETTER DE
 e=     0435    CYRILLIC SMALL LETTER IE
 z%     0436    CYRILLIC SMALL LETTER ZHE
 z=     0437    CYRILLIC SMALL LETTER ZE
 i=     0438    CYRILLIC SMALL LETTER I
 j=     0439    CYRILLIC SMALL LETTER SHORT I
 k=     043a    CYRILLIC SMALL LETTER KA
 l=     043b    CYRILLIC SMALL LETTER EL
 m=     043c    CYRILLIC SMALL LETTER EM
 n=     043d    CYRILLIC SMALL LETTER EN
 o=     043e    CYRILLIC SMALL LETTER O
 p=     043f    CYRILLIC SMALL LETTER PE
 r=     0440    CYRILLIC SMALL LETTER ER
 s=     0441    CYRILLIC SMALL LETTER ES
 t=     0442    CYRILLIC SMALL LETTER TE
 u=     0443    CYRILLIC SMALL LETTER U
 f=     0444    CYRILLIC SMALL LETTER EF
 h=     0445    CYRILLIC SMALL LETTER HA
 c=     0446    CYRILLIC SMALL LETTER TSE
 c%     0447    CYRILLIC SMALL LETTER CHE
 s%     0448    CYRILLIC SMALL LETTER SHA
 sc     0449    CYRILLIC SMALL LETTER SHCHA
 ='     044a    CYRILLIC SMALL LETTER HARD SIGN
 y=     044b    CYRILLIC SMALL LETTER YERU
 %'     044c    CYRILLIC SMALL LETTER SOFT SIGN
 je     044d    CYRILLIC SMALL LETTER E
 ju     044e    CYRILLIC SMALL LETTER YU
 ja     044f    CYRILLIC SMALL LETTER YA
 io     0451    CYRILLIC SMALL LETTER IO
 d%     0452    CYRILLIC SMALL LETTER DJE (Serbocroatian)
 g%     0453    CYRILLIC SMALL LETTER GJE (Macedonian)
 ie     0454    CYRILLIC SMALL LETTER UKRAINIAN IE
 ds     0455    CYRILLIC SMALL LETTER DZE (Macedonian)
 ii     0456    CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
 yi     0457    CYRILLIC SMALL LETTER YI (Ukrainian)
 j%     0458    CYRILLIC SMALL LETTER JE
 lj     0459    CYRILLIC SMALL LETTER LJE
 nj     045a    CYRILLIC SMALL LETTER NJE
 ts     045b    CYRILLIC SMALL LETTER TSHE (Serbocroatian)
 kj     045c    CYRILLIC SMALL LETTER KJE (Macedonian)
 v%     045e    CYRILLIC SMALL LETTER SHORT U (Byelorussian)
 dz     045f    CYRILLIC SMALL LETTER DZHE
 Y3     0462    CYRILLIC CAPITAL LETTER YAT
 y3     0463    CYRILLIC SMALL LETTER YAT
 O3     046a    CYRILLIC CAPITAL LETTER BIG YUS
 o3     046b    CYRILLIC SMALL LETTER BIG YUS
 F3     0472    CYRILLIC CAPITAL LETTER FITA
 f3     0473    CYRILLIC SMALL LETTER FITA
 V3     0474    CYRILLIC CAPITAL LETTER IZHITSA
 v3     0475    CYRILLIC SMALL LETTER IZHITSA
 C3     0480    CYRILLIC CAPITAL LETTER KOPPA
 c3     0481    CYRILLIC SMALL LETTER KOPPA
 G3     0490    CYRILLIC CAPITAL LETTER GHE WITH UPTURN
 g3     0491    CYRILLIC SMALL LETTER GHE WITH UPTURN
 A+     05d0    HEBREW LETTER ALEF
 B+     05d1    HEBREW LETTER BET
 G+     05d2    HEBREW LETTER GIMEL
 D+     05d3    HEBREW LETTER DALET
 H+     05d4    HEBREW LETTER HE
 W+     05d5    HEBREW LETTER VAV
 Z+     05d6    HEBREW LETTER ZAYIN
 X+     05d7    HEBREW LETTER HET
 Tj     05d8    HEBREW LETTER TET
 J+     05d9    HEBREW LETTER YOD
 K%     05da    HEBREW LETTER FINAL KAF
 K+     05db    HEBREW LETTER KAF
 L+     05dc    HEBREW LETTER LAMED
 M%     05dd    HEBREW LETTER FINAL MEM
 M+     05de    HEBREW LETTER MEM
 N%     05df    HEBREW LETTER FINAL NUN
 N+     05e0    HEBREW LETTER NUN
 S+     05e1    HEBREW LETTER SAMEKH
 E+     05e2    HEBREW LETTER AYIN
 P%     05e3    HEBREW LETTER FINAL PE
 P+     05e4    HEBREW LETTER PE
 Zj     05e5    HEBREW LETTER FINAL TSADI
 ZJ     05e6    HEBREW LETTER TSADI
 Q+     05e7    HEBREW LETTER QOF
 R+     05e8    HEBREW LETTER RESH
 Sh     05e9    HEBREW LETTER SHIN
 T+     05ea    HEBREW LETTER TAV
 ,+     060c    ARABIC COMMA
 ;+     061b    ARABIC SEMICOLON
 ?+     061f    ARABIC QUESTION MARK
 H'     0621    ARABIC LETTER HAMZA
 aM     0622    ARABIC LETTER ALEF WITH MADDA ABOVE
 aH     0623    ARABIC LETTER ALEF WITH HAMZA ABOVE
 wH     0624    ARABIC LETTER WAW WITH HAMZA ABOVE
 ah     0625    ARABIC LETTER ALEF WITH HAMZA BELOW
 yH     0626    ARABIC LETTER YEH WITH HAMZA ABOVE
 a+     0627    ARABIC LETTER ALEF
 b+     0628    ARABIC LETTER BEH
 tm     0629    ARABIC LETTER TEH MARBUTA
 t+     062a    ARABIC LETTER TEH
 tk     062b    ARABIC LETTER THEH
 g+     062c    ARABIC LETTER JEEM
 hk     062d    ARABIC LETTER HAH
 x+     062e    ARABIC LETTER KHAH
 d+     062f    ARABIC LETTER DAL
 dk     0630    ARABIC LETTER THAL
 r+     0631    ARABIC LETTER REH
 z+     0632    ARABIC LETTER ZAIN
 s+     0633    ARABIC LETTER SEEN
 sn     0634    ARABIC LETTER SHEEN
 c+     0635    ARABIC LETTER SAD
 dd     0636    ARABIC LETTER DAD
 tj     0637    ARABIC LETTER TAH
 zH     0638    ARABIC LETTER ZAH
 e+     0639    ARABIC LETTER AIN
 i+     063a    ARABIC LETTER GHAIN
 ++     0640    ARABIC TATWEEL
 f+     0641    ARABIC LETTER FEH
 q+     0642    ARABIC LETTER QAF
 k+     0643    ARABIC LETTER KAF
 l+     0644    ARABIC LETTER LAM
 m+     0645    ARABIC LETTER MEEM
 n+     0646    ARABIC LETTER NOON
 h+     0647    ARABIC LETTER HEH
 w+     0648    ARABIC LETTER WAW
 j+     0649    ARABIC LETTER ALEF MAKSURA
 y+     064a    ARABIC LETTER YEH
 :+     064b    ARABIC FATHATAN
 "+     064c    ARABIC DAMMATAN
 =+     064d    ARABIC KASRATAN
 /+     064e    ARABIC FATHA
 '+     064f    ARABIC DAMMA
 1+     0650    ARABIC KASRA
 3+     0651    ARABIC SHADDA
 0+     0652    ARABIC SUKUN
 aS     0670    SUPERSCRIPT ARABIC LETTER ALEF
 p+     067e    ARABIC LETTER PEH
 v+     06a4    ARABIC LETTER VEH
 gf     06af    ARABIC LETTER GAF
 0a     06f0    EASTERN ARABIC-INDIC DIGIT ZERO
 1a     06f1    EASTERN ARABIC-INDIC DIGIT ONE
 2a     06f2    EASTERN ARABIC-INDIC DIGIT TWO
 3a     06f3    EASTERN ARABIC-INDIC DIGIT THREE
 4a     06f4    EASTERN ARABIC-INDIC DIGIT FOUR
 5a     06f5    EASTERN ARABIC-INDIC DIGIT FIVE
 6a     06f6    EASTERN ARABIC-INDIC DIGIT SIX
 7a     06f7    EASTERN ARABIC-INDIC DIGIT SEVEN
 8a     06f8    EASTERN ARABIC-INDIC DIGIT EIGHT
 9a     06f9    EASTERN ARABIC-INDIC DIGIT NINE
 A-0    1e00    LATIN CAPITAL LETTER A WITH RING BELOW
 a-0    1e01    LATIN SMALL LETTER A WITH RING BELOW
 B.     1e02    LATIN CAPITAL LETTER B WITH DOT ABOVE
 b.     1e03    LATIN SMALL LETTER B WITH DOT ABOVE
 B-.    1e04    LATIN CAPITAL LETTER B WITH DOT BELOW
 b-.    1e05    LATIN SMALL LETTER B WITH DOT BELOW
 B_     1e06    LATIN CAPITAL LETTER B WITH LINE BELOW
 b_     1e07    LATIN SMALL LETTER B WITH LINE BELOW
 C,'    1e08    LATIN CAPITAL LETTER C WITH CEDILLA AND ACUTE
 c,'    1e09    LATIN SMALL LETTER C WITH CEDILLA AND ACUTE
 D.     1e0a    LATIN CAPITAL LETTER D WITH DOT ABOVE
 d.     1e0b    LATIN SMALL LETTER D WITH DOT ABOVE
 D-.    1e0c    LATIN CAPITAL LETTER D WITH DOT BELOW
 d-.    1e0d    LATIN SMALL LETTER D WITH DOT BELOW
 D_     1e0e    LATIN CAPITAL LETTER D WITH LINE BELOW
 d_     1e0f    LATIN SMALL LETTER D WITH LINE BELOW
 D,     1e10    LATIN CAPITAL LETTER D WITH CEDILLA
 d,     1e11    LATIN SMALL LETTER D WITH CEDILLA
 D->    1e12    LATIN CAPITAL LETTER D WITH CIRCUMFLEX BELOW
 d->    1e13    LATIN SMALL LETTER D WITH CIRCUMFLEX BELOW
 E-!    1e14    LATIN CAPITAL LETTER E WITH MACRON AND GRAVE
 e-!    1e15    LATIN SMALL LETTER E WITH MACRON AND GRAVE
 E-'    1e16    LATIN CAPITAL LETTER E WITH MACRON AND ACUTE
 e-'    1e17    LATIN SMALL LETTER E WITH MACRON AND ACUTE
 E->    1e18    LATIN CAPITAL LETTER E WITH CIRCUMFLEX BELOW
 e->    1e19    LATIN SMALL LETTER E WITH CIRCUMFLEX BELOW
 E-?    1e1a    LATIN CAPITAL LETTER E WITH TILDE BELOW
 e-?    1e1b    LATIN SMALL LETTER E WITH TILDE BELOW
 E,(    1e1c    LATIN CAPITAL LETTER E WITH CEDILLA AND BREVE
 e,(    1e1d    LATIN SMALL LETTER E WITH CEDILLA AND BREVE
 F.     1e1e    LATIN CAPITAL LETTER F WITH DOT ABOVE
 f.     1e1f    LATIN SMALL LETTER F WITH DOT ABOVE
 G-     1e20    LATIN CAPITAL LETTER G WITH MACRON
 g-     1e21    LATIN SMALL LETTER G WITH MACRON
 H.     1e22    LATIN CAPITAL LETTER H WITH DOT ABOVE
 h.     1e23    LATIN SMALL LETTER H WITH DOT ABOVE
 H-.    1e24    LATIN CAPITAL LETTER H WITH DOT BELOW
 h-.    1e25    LATIN SMALL LETTER H WITH DOT BELOW
 H:     1e26    LATIN CAPITAL LETTER H WITH DIAERESIS
 h:     1e27    LATIN SMALL LETTER H WITH DIAERESIS
 H,     1e28    LATIN CAPITAL LETTER H WITH CEDILLA
 h,     1e29    LATIN SMALL LETTER H WITH CEDILLA
 H-(    1e2a    LATIN CAPITAL LETTER H WITH BREVE BELOW
 h-(    1e2b    LATIN SMALL LETTER H WITH BREVE BELOW
 I-?    1e2c    LATIN CAPITAL LETTER I WITH TILDE BELOW
 i-?    1e2d    LATIN SMALL LETTER I WITH TILDE BELOW
 I:'    1e2e    LATIN CAPITAL LETTER I WITH DIAERESIS AND ACUTE
 i:'    1e2f    LATIN SMALL LETTER I WITH DIAERESIS AND ACUTE
 K'     1e30    LATIN CAPITAL LETTER K WITH ACUTE
 k'     1e31    LATIN SMALL LETTER K WITH ACUTE
 K-.    1e32    LATIN CAPITAL LETTER K WITH DOT BELOW
 k-.    1e33    LATIN SMALL LETTER K WITH DOT BELOW
 K_     1e34    LATIN CAPITAL LETTER K WITH LINE BELOW
 k_     1e35    LATIN SMALL LETTER K WITH LINE BELOW
 L-.    1e36    LATIN CAPITAL LETTER L WITH DOT BELOW
 l-.    1e37    LATIN SMALL LETTER L WITH DOT BELOW
 L--.   1e38    LATIN CAPITAL LETTER L WITH DOT BELOW AND MACRON
 l--.   1e39    LATIN SMALL LETTER L WITH DOT BELOW AND MACRON
 L_     1e3a    LATIN CAPITAL LETTER L WITH LINE BELOW
 l_     1e3b    LATIN SMALL LETTER L WITH LINE BELOW
 L->    1e3c    LATIN CAPITAL LETTER L WITH CIRCUMFLEX BELOW
 l->    1e3d    LATIN SMALL LETTER L WITH CIRCUMFLEX BELOW
 M'     1e3e    LATIN CAPITAL LETTER M WITH ACUTE
 m'     1e3f    LATIN SMALL LETTER M WITH ACUTE
 M.     1e40    LATIN CAPITAL LETTER M WITH DOT ABOVE
 m.     1e41    LATIN SMALL LETTER M WITH DOT ABOVE
 M-.    1e42    LATIN CAPITAL LETTER M WITH DOT BELOW
 m-.    1e43    LATIN SMALL LETTER M WITH DOT BELOW
 N.     1e44    LATIN CAPITAL LETTER N WITH DOT ABOVE
 n.     1e45    LATIN SMALL LETTER N WITH DOT ABOVE
 N-.    1e46    LATIN CAPITAL LETTER N WITH DOT BELOW
 n-.    1e47    LATIN SMALL LETTER N WITH DOT BELOW
 N_     1e48    LATIN CAPITAL LETTER N WITH LINE BELOW
 n_     1e49    LATIN SMALL LETTER N WITH LINE BELOW
 N->    1e4a    LATIN CAPITAL LETTER N WITH CIRCUMFLEX BELOW
 n->    1e4b    LATIN SMALL LETTER N WITH CIRCUMFLEX BELOW
 O?'    1e4c    LATIN CAPITAL LETTER O WITH TILDE AND ACUTE
 o?'    1e4d    LATIN SMALL LETTER O WITH TILDE AND ACUTE
 O?:    1e4e    LATIN CAPITAL LETTER O WITH TILDE AND DIAERESIS
 o?:    1e4f    LATIN SMALL LETTER O WITH TILDE AND DIAERESIS
 O-!    1e50    LATIN CAPITAL LETTER O WITH MACRON AND GRAVE
 o-!    1e51    LATIN SMALL LETTER O WITH MACRON AND GRAVE
 O-'    1e52    LATIN CAPITAL LETTER O WITH MACRON AND ACUTE
 o-'    1e53    LATIN SMALL LETTER O WITH MACRON AND ACUTE
 P'     1e54    LATIN CAPITAL LETTER P WITH ACUTE
 p'     1e55    LATIN SMALL LETTER P WITH ACUTE
 P.     1e56    LATIN CAPITAL LETTER P WITH DOT ABOVE
 p.     1e57    LATIN SMALL LETTER P WITH DOT ABOVE
 R.     1e58    LATIN CAPITAL LETTER R WITH DOT ABOVE
 r.     1e59    LATIN SMALL LETTER R WITH DOT ABOVE
 R-.    1e5a    LATIN CAPITAL LETTER R WITH DOT BELOW
 r-.    1e5b    LATIN SMALL LETTER R WITH DOT BELOW
 R--.   1e5c    LATIN CAPITAL LETTER R WITH DOT BELOW AND MACRON
 r--.   1e5d    LATIN SMALL LETTER R WITH DOT BELOW AND MACRON
 R_     1e5e    LATIN CAPITAL LETTER R WITH LINE BELOW
 r_     1e5f    LATIN SMALL LETTER R WITH LINE BELOW
 S.     1e60    LATIN CAPITAL LETTER S WITH DOT ABOVE
 s.     1e61    LATIN SMALL LETTER S WITH DOT ABOVE
 S-.    1e62    LATIN CAPITAL LETTER S WITH DOT BELOW
 s-.    1e63    LATIN SMALL LETTER S WITH DOT BELOW
 S'.    1e64    LATIN CAPITAL LETTER S WITH ACUTE AND DOT ABOVE
 s'.    1e65    LATIN SMALL LETTER S WITH ACUTE AND DOT ABOVE
 S<.    1e66    LATIN CAPITAL LETTER S WITH CARON AND DOT ABOVE
 s<.    1e67    LATIN SMALL LETTER S WITH CARON AND DOT ABOVE
 S.-.   1e68    LATIN CAPITAL LETTER S WITH DOT BELOW AND DOT ABOVE
 s.-.   1e69    LATIN SMALL LETTER S WITH DOT BELOW AND DOT ABOVE
 T.     1e6a    LATIN CAPITAL LETTER T WITH DOT ABOVE
 t.     1e6b    LATIN SMALL LETTER T WITH DOT ABOVE
 T-.    1e6c    LATIN CAPITAL LETTER T WITH DOT BELOW
 t-.    1e6d    LATIN SMALL LETTER T WITH DOT BELOW
 T_     1e6e    LATIN CAPITAL LETTER T WITH LINE BELOW
 t_     1e6f    LATIN SMALL LETTER T WITH LINE BELOW
 T->    1e70    LATIN CAPITAL LETTER T WITH CIRCUMFLEX BELOW
 t->    1e71    LATIN SMALL LETTER T WITH CIRCUMFLEX BELOW
 U--:   1e72    LATIN CAPITAL LETTER U WITH DIAERESIS BELOW
 u--:   1e73    LATIN SMALL LETTER U WITH DIAERESIS BELOW
 U-?    1e74    LATIN CAPITAL LETTER U WITH TILDE BELOW
 u-?    1e75    LATIN SMALL LETTER U WITH TILDE BELOW
 U->    1e76    LATIN CAPITAL LETTER U WITH CIRCUMFLEX BELOW
 u->    1e77    LATIN SMALL LETTER U WITH CIRCUMFLEX BELOW
 U?'    1e78    LATIN CAPITAL LETTER U WITH TILDE AND ACUTE
 u?'    1e79    LATIN SMALL LETTER U WITH TILDE AND ACUTE
 U-:    1e7a    LATIN CAPITAL LETTER U WITH MACRON AND DIAERESIS
 u-:    1e7b    LATIN SMALL LETTER U WITH MACRON AND DIAERESIS
 V?     1e7c    LATIN CAPITAL LETTER V WITH TILDE
 v?     1e7d    LATIN SMALL LETTER V WITH TILDE
 V-.    1e7e    LATIN CAPITAL LETTER V WITH DOT BELOW
 v-.    1e7f    LATIN SMALL LETTER V WITH DOT BELOW
 W!     1e80    LATIN CAPITAL LETTER W WITH GRAVE
 w!     1e81    LATIN SMALL LETTER W WITH GRAVE
 W'     1e82    LATIN CAPITAL LETTER W WITH ACUTE
 w'     1e83    LATIN SMALL LETTER W WITH ACUTE
 W:     1e84    LATIN CAPITAL LETTER W WITH DIAERESIS
 w:     1e85    LATIN SMALL LETTER W WITH DIAERESIS
 W.     1e86    LATIN CAPITAL LETTER W WITH DOT ABOVE
 w.     1e87    LATIN SMALL LETTER W WITH DOT ABOVE
 W-.    1e88    LATIN CAPITAL LETTER W WITH DOT BELOW
 w-.    1e89    LATIN SMALL LETTER W WITH DOT BELOW
 X.     1e8a    LATIN CAPITAL LETTER X WITH DOT ABOVE
 x.     1e8b    LATIN SMALL LETTER X WITH DOT ABOVE
 X:     1e8c    LATIN CAPITAL LETTER X WITH DIAERESIS
 x:     1e8d    LATIN SMALL LETTER X WITH DIAERESIS
 Y.     1e8e    LATIN CAPITAL LETTER Y WITH DOT ABOVE
 y.     1e8f    LATIN SMALL LETTER Y WITH DOT ABOVE
 Z>     1e90    LATIN CAPITAL LETTER Z WITH CIRCUMFLEX
 z>     1e91    LATIN SMALL LETTER Z WITH CIRCUMFLEX
 Z-.    1e92    LATIN CAPITAL LETTER Z WITH DOT BELOW
 z-.    1e93    LATIN SMALL LETTER Z WITH DOT BELOW
 Z_     1e94    LATIN CAPITAL LETTER Z WITH LINE BELOW
 z_     1e95    LATIN SMALL LETTER Z WITH LINE BELOW
 h_     1e96    LATIN SMALL LETTER H WITH LINE BELOW
 t:     1e97    LATIN SMALL LETTER T WITH DIAERESIS
 w0     1e98    LATIN SMALL LETTER W WITH RING ABOVE
 y0     1e99    LATIN SMALL LETTER Y WITH RING ABOVE
 A-.    1ea0    LATIN CAPITAL LETTER A WITH DOT BELOW
 a-.    1ea1    LATIN SMALL LETTER A WITH DOT BELOW
 A2     1ea2    LATIN CAPITAL LETTER A WITH HOOK ABOVE
 a2     1ea3    LATIN SMALL LETTER A WITH HOOK ABOVE
 A>'    1ea4    LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND ACUTE
 a>'    1ea5    LATIN SMALL LETTER A WITH CIRCUMFLEX AND ACUTE
 A>!    1ea6    LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND GRAVE
 a>!    1ea7    LATIN SMALL LETTER A WITH CIRCUMFLEX AND GRAVE
 A>2    1ea8    LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE
 a>2    1ea9    LATIN SMALL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE
 A>?    1eaa    LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND TILDE
 a>?    1eab    LATIN SMALL LETTER A WITH CIRCUMFLEX AND TILDE
 A>-.   1eac    LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND DOT BELOW
 a>-.   1ead    LATIN SMALL LETTER A WITH CIRCUMFLEX AND DOT BELOW
 A('    1eae    LATIN CAPITAL LETTER A WITH BREVE AND ACUTE
 a('    1eaf    LATIN SMALL LETTER A WITH BREVE AND ACUTE
 A(!    1eb0    LATIN CAPITAL LETTER A WITH BREVE AND GRAVE
 a(!    1eb1    LATIN SMALL LETTER A WITH BREVE AND GRAVE
 A(2    1eb2    LATIN CAPITAL LETTER A WITH BREVE AND HOOK ABOVE
 a(2    1eb3    LATIN SMALL LETTER A WITH BREVE AND HOOK ABOVE
 A(?    1eb4    LATIN CAPITAL LETTER A WITH BREVE AND TILDE
 a(?    1eb5    LATIN SMALL LETTER A WITH BREVE AND TILDE
 A(-.   1eb6    LATIN CAPITAL LETTER A WITH BREVE AND DOT BELOW
 a(-.   1eb7    LATIN SMALL LETTER A WITH BREVE AND DOT BELOW
 E-.    1eb8    LATIN CAPITAL LETTER E WITH DOT BELOW
 e-.    1eb9    LATIN SMALL LETTER E WITH DOT BELOW
 E2     1eba    LATIN CAPITAL LETTER E WITH HOOK ABOVE
 e2     1ebb    LATIN SMALL LETTER E WITH HOOK ABOVE
 E?     1ebc    LATIN CAPITAL LETTER E WITH TILDE
 e?     1ebd    LATIN SMALL LETTER E WITH TILDE
 E>'    1ebe    LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND ACUTE
 e>'    1ebf    LATIN SMALL LETTER E WITH CIRCUMFLEX AND ACUTE
 E>!    1ec0    LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND GRAVE
 e>!    1ec1    LATIN SMALL LETTER E WITH CIRCUMFLEX AND GRAVE
 E>2    1ec2    LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE
 e>2    1ec3    LATIN SMALL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE
 E>?    1ec4    LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND TILDE
 e>?    1ec5    LATIN SMALL LETTER E WITH CIRCUMFLEX AND TILDE
 E>-.   1ec6    LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND DOT BELOW
 e>-.   1ec7    LATIN SMALL LETTER E WITH CIRCUMFLEX AND DOT BELOW
 I2     1ec8    LATIN CAPITAL LETTER I WITH HOOK ABOVE
 i2     1ec9    LATIN SMALL LETTER I WITH HOOK ABOVE
 I-.    1eca    LATIN CAPITAL LETTER I WITH DOT BELOW
 i-.    1ecb    LATIN SMALL LETTER I WITH DOT BELOW
 O-.    1ecc    LATIN CAPITAL LETTER O WITH DOT BELOW
 o-.    1ecd    LATIN SMALL LETTER O WITH DOT BELOW
 O2     1ece    LATIN CAPITAL LETTER O WITH HOOK ABOVE
 o2     1ecf    LATIN SMALL LETTER O WITH HOOK ABOVE
 O>'    1ed0    LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND ACUTE
 o>'    1ed1    LATIN SMALL LETTER O WITH CIRCUMFLEX AND ACUTE
 O>!    1ed2    LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND GRAVE
 o>!    1ed3    LATIN SMALL LETTER O WITH CIRCUMFLEX AND GRAVE
 O>2    1ed4    LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE
 o>2    1ed5    LATIN SMALL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE
 O>?    1ed6    LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND TILDE
 o>?    1ed7    LATIN SMALL LETTER O WITH CIRCUMFLEX AND TILDE
 O>-.   1ed8    LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND DOT BELOW
 o>-.   1ed9    LATIN SMALL LETTER O WITH CIRCUMFLEX AND DOT BELOW
 O9'    1eda    LATIN CAPITAL LETTER O WITH HORN AND ACUTE
 o9'    1edb    LATIN SMALL LETTER O WITH HORN AND ACUTE
 O9!    1edc    LATIN CAPITAL LETTER O WITH HORN AND GRAVE
 o9!    1edd    LATIN SMALL LETTER O WITH HORN AND GRAVE
 O92    1ede    LATIN CAPITAL LETTER O WITH HORN AND HOOK ABOVE
 o92    1edf    LATIN SMALL LETTER O WITH HORN AND HOOK ABOVE
 O9?    1ee0    LATIN CAPITAL LETTER O WITH HORN AND TILDE
 o9?    1ee1    LATIN SMALL LETTER O WITH HORN AND TILDE
 O9-.   1ee2    LATIN CAPITAL LETTER O WITH HORN AND DOT BELOW
 o9-.   1ee3    LATIN SMALL LETTER O WITH HORN AND DOT BELOW
 U-.    1ee4    LATIN CAPITAL LETTER U WITH DOT BELOW
 u-.    1ee5    LATIN SMALL LETTER U WITH DOT BELOW
 U2     1ee6    LATIN CAPITAL LETTER U WITH HOOK ABOVE
 u2     1ee7    LATIN SMALL LETTER U WITH HOOK ABOVE
 U9'    1ee8    LATIN CAPITAL LETTER U WITH HORN AND ACUTE
 u9'    1ee9    LATIN SMALL LETTER U WITH HORN AND ACUTE
 U9!    1eea    LATIN CAPITAL LETTER U WITH HORN AND GRAVE
 u9!    1eeb    LATIN SMALL LETTER U WITH HORN AND GRAVE
 U92    1eec    LATIN CAPITAL LETTER U WITH HORN AND HOOK ABOVE
 u92    1eed    LATIN SMALL LETTER U WITH HORN AND HOOK ABOVE
 U9?    1eee    LATIN CAPITAL LETTER U WITH HORN AND TILDE
 u9?    1eef    LATIN SMALL LETTER U WITH HORN AND TILDE
 U9-.   1ef0    LATIN CAPITAL LETTER U WITH HORN AND DOT BELOW
 u9-.   1ef1    LATIN SMALL LETTER U WITH HORN AND DOT BELOW
 Y!     1ef2    LATIN CAPITAL LETTER Y WITH GRAVE
 y!     1ef3    LATIN SMALL LETTER Y WITH GRAVE
 Y-.    1ef4    LATIN CAPITAL LETTER Y WITH DOT BELOW
 y-.    1ef5    LATIN SMALL LETTER Y WITH DOT BELOW
 Y2     1ef6    LATIN CAPITAL LETTER Y WITH HOOK ABOVE
 y2     1ef7    LATIN SMALL LETTER Y WITH HOOK ABOVE
 Y?     1ef8    LATIN CAPITAL LETTER Y WITH TILDE
 y?     1ef9    LATIN SMALL LETTER Y WITH TILDE
 ;'     1f00    GREEK DASIA AND ACUTE ACCENT
 ,'     1f01    GREEK PSILI AND ACUTE ACCENT
 ;!     1f02    GREEK DASIA AND VARIA
 ,!     1f03    GREEK PSILI AND VARIA
 ?;     1f04    GREEK DASIA AND PERISPOMENI
 ?,     1f05    GREEK PSILI AND PERISPOMENI
 !:     1f06    GREEK DIAERESIS AND VARIA
 ?:     1f07    GREEK DIAERESIS AND PERISPOMENI
 1N     2002    EN SPACE
 1M     2003    EM SPACE
 3M     2004    THREE-PER-EM SPACE
 4M     2005    FOUR-PER-EM SPACE
 6M     2006    SIX-PER-EM SPACE
 1T     2009    THIN SPACE
 1H     200a    HAIR SPACE
 -1     2010    HYPHEN
 -N     2013    EN DASH
 -M     2014    EM DASH
 -3     2015    HORIZONTAL BAR
 !2     2016    DOUBLE VERTICAL LINE
 =2     2017    DOUBLE LOW LINE
 '6     2018    LEFT SINGLE QUOTATION MARK
 '9     2019    RIGHT SINGLE QUOTATION MARK
 .9     201a    SINGLE LOW-9 QUOTATION MARK
 9'     201b    SINGLE HIGH-REVERSED-9 QUOTATION MARK
 "6     201c    LEFT DOUBLE QUOTATION MARK
 "9     201d    RIGHT DOUBLE QUOTATION MARK
 :9     201e    DOUBLE LOW-9 QUOTATION MARK
 9"     201f    DOUBLE HIGH-REVERSED-9 QUOTATION MARK
 /-     2020    DAGGER
 /=     2021    DOUBLE DAGGER
 ..     2025    TWO DOT LEADER
 %0     2030    PER MILLE SIGN
 1'     2032    PRIME
 2'     2033    DOUBLE PRIME
 3'     2034    TRIPLE PRIME
 1"     2035    REVERSED PRIME
 2"     2036    REVERSED DOUBLE PRIME
 3"     2037    REVERSED TRIPLE PRIME
 Ca     2038    CARET
 <1     2039    SINGLE LEFT-POINTING ANGLE QUOTATION MARK
 >1     203a    SINGLE RIGHT-POINTING ANGLE QUOTATION MARK
 :X     203b    REFERENCE MARK
 !*2    203c    DOUBLE EXCLAMATION MARK
 '-     203e    OVERLINE
 /f     2044    FRACTION SLASH
 0S     2070    SUPERSCRIPT DIGIT ZERO
 4S     2074    SUPERSCRIPT DIGIT FOUR
 5S     2075    SUPERSCRIPT DIGIT FIVE
 6S     2076    SUPERSCRIPT DIGIT SIX
 7S     2077    SUPERSCRIPT DIGIT SEVEN
 8S     2078    SUPERSCRIPT DIGIT EIGHT
